epoch,train_acc,train_nmi,train_ari,train_f1,test_acc,test_nmi,test_ari,test_f1
0,0.23819742489270387,0.02616162823246185,0.013503637107525265,0.20738194373102195,0.2392545837090472,0.02222988573626624,0.01998065164821851,0.21820536736994042
1,0.6875536480686695,0.48435944265082786,0.3443146649693694,0.6307452325063054,0.47640516982266307,0.2237884541214159,0.10976195914184252,0.4297512700168345
2,0.9008583690987124,0.7747666339232738,0.7888942507860223,0.866903359121684,0.631800420799519,0.36294654154341777,0.32424637717981275,0.5769093486681283
3,0.9532188841201716,0.8728243481580865,0.9061556858514918,0.9323951459339869,0.6744815148782687,0.40503796987088486,0.40309470727442037,0.6173640853301164
4,0.9682403433476395,0.905279212393277,0.9389791829780259,0.9542501161622736,0.6813946498346859,0.4155378878080326,0.4201938063263557,0.6306443951299018
5,0.965236051502146,0.9019520907804454,0.9350038799091642,0.9490915953960992,0.680492936579501,0.4120723286891525,0.4230134632362015,0.6310884982337416
6,0.9690987124463519,0.914497378465895,0.942820969248515,0.955020831444624,0.6871055004508566,0.42648253419925025,0.43466994692235966,0.6353143090160661
7,0.9772532188841202,0.9281873815547262,0.9540765251245559,0.9692128801190223,0.6886083558761648,0.4236450529680467,0.4374806846015222,0.6387166977915256
8,0.9716738197424892,0.9207843120388188,0.9482397038987781,0.9582602249931497,0.6856026450255486,0.4213490820575807,0.4326690392470113,0.6371494149791705
9,0.9793991416309012,0.9389524629363121,0.9612014407388845,0.9706972121660012,0.6859032161106101,0.4232529984124659,0.435002695145204,0.636629444169654
10,0.9785407725321889,0.9370339344116821,0.9602398117323434,0.9683376729681644,0.6865043582807334,0.42431737879281933,0.4361139940784034,0.6373927435101994
11,0.9733905579399141,0.9279614065992636,0.9511897556585682,0.961331730192482,0.6777877968139465,0.4171256586782414,0.4259660323461764,0.6287957087076718
12,0.98068669527897,0.9449540921672328,0.9654546022407585,0.9704466367286013,0.6831980763450556,0.4204466710023549,0.4304941142133896,0.6319814379257466
13,0.98068669527897,0.9417358482797886,0.9644510870597768,0.9711099809262943,0.6795912233243162,0.42013039755807113,0.4273854358645191,0.6278936409234529
14,0.9819742489270387,0.947342285135704,0.966673626824371,0.9731908470694193,0.6762849413886384,0.4140005479013218,0.4207393501970712,0.627831757298935
15,0.98068669527897,0.944505643637432,0.9653656587362179,0.9707131861509573,0.6798917944093779,0.417687657545187,0.4245657054252979,0.6297436025980397
16,0.9819742489270387,0.9504940795941677,0.9674165418670756,0.9727630090896416,0.6762849413886384,0.41288640410871486,0.4169272526980991,0.6284076273765047
17,0.9849785407725322,0.9563245726152332,0.9733168971875632,0.9767971477680448,0.6783889389840697,0.4134052714738149,0.41917228355708547,0.6291694040459093
18,0.9811158798283262,0.9475154134781747,0.9652651968348542,0.9714660111097261,0.6723775172828373,0.4072727584596988,0.4136985201438973,0.6231101448905729
19,0.9819742489270387,0.9495436052687596,0.9691837996589547,0.9713705416592365,0.6762849413886384,0.41115539504237875,0.4181908049926823,0.6284511690838018
20,0.98068669527897,0.9452728542257206,0.9640308656067235,0.9710433126449551,0.6795912233243162,0.41665187927536357,0.41970689114105275,0.6324264155508347
21,0.9901287553648068,0.9687697794487637,0.980898213284936,0.9850845086110533,0.6801923654944394,0.416587266928018,0.42063598686201087,0.6306900364167567
22,0.9866952789699571,0.959731303021353,0.9755709291058148,0.9793594448179412,0.678990081154193,0.4155992629103885,0.42152640028666155,0.6295280821802118
23,0.9828326180257511,0.9495274802299472,0.9686442146558772,0.9736813551004628,0.6780883678990082,0.41434204419959986,0.41965781007980574,0.6290712045666821
24,0.9836909871244636,0.953984086490546,0.9713123249302407,0.9746928832723443,0.6771866546438232,0.4140247485982931,0.4212222534644856,0.6266850118115922
25,0.9832618025751073,0.9537518151911136,0.9693521661088591,0.9745893401089664,0.6777877968139465,0.4173894245515676,0.42138838411023977,0.6287041944181743
26,0.9901287553648068,0.9708942329941783,0.9827864586947352,0.9842580420852887,0.6774872257288849,0.413169155299439,0.42067508800946124,0.6278103757014247
27,0.9879828326180258,0.9650695743655092,0.9798547826825121,0.9805225211195733,0.6744815148782687,0.4067013011244014,0.41545457677480074,0.6240622496421703
28,0.9841201716738197,0.9564970660454892,0.9714859437021178,0.9757689780575619,0.6759843703035768,0.41416337410595444,0.41845825460950176,0.6261837874469968
29,0.9832618025751073,0.9535443831793587,0.9708769572388939,0.97373467317087,0.6768860835587617,0.41434065955483906,0.4205901622199006,0.6275535581231285
30,0.9836909871244636,0.9556637564411395,0.9721148102362648,0.9741942003780366,0.6810940787496242,0.41662242261245946,0.42477118507424005,0.6340853074683176
31,0.9836909871244636,0.9551218015138547,0.973189566067617,0.9737073401013353,0.6819957920048091,0.41764879882277856,0.4275757437580756,0.6331884564647529
32,0.9866952789699571,0.9635006123053023,0.9773315753733417,0.978566697860891,0.6840997896002404,0.42488040340116634,0.4321630780127853,0.6350818486903572
33,0.9832618025751073,0.9542373164040008,0.9715152086132858,0.9737730857911057,0.6837992185151789,0.42130517993141325,0.42816209160937146,0.6366924657651508
34,0.9793991416309012,0.947406253848227,0.96324388772377,0.96819254164898,0.6768860835587617,0.4127767836924432,0.4221212864022483,0.628321828876057
35,0.9849785407725322,0.9576694873894603,0.9731518968299006,0.9768821287024595,0.6837992185151789,0.4242973686152477,0.4302677881829238,0.634437187427015
36,0.9858369098712446,0.9559728832638339,0.9730122560688077,0.9792095387383938,0.6865043582807334,0.42391347060381396,0.4342196404911157,0.6366383884499115
37,0.9888412017167382,0.9671460213716156,0.9798277166493263,0.9826058896576564,0.6840997896002404,0.42179204137725146,0.43054211827221417,0.6340467652949098
38,0.9841201716738197,0.9578246688701476,0.972182414363957,0.974916939348416,0.6819957920048091,0.4209498188391228,0.4292005645543046,0.6324787593385277
39,0.9832618025751073,0.9521598778318812,0.9697125346595967,0.9744944943587286,0.6786895100691314,0.4136834173417731,0.4226217852035975,0.6298674022115504
40,0.9879828326180258,0.9639939549274309,0.9789807352244415,0.9809793143945807,0.6844003606853021,0.42109119615093793,0.42947860387016,0.6362871495198631
41,0.9875536480686695,0.962285416389989,0.9771845564029948,0.9811665094525227,0.6844003606853021,0.4220996062902189,0.43029652836262944,0.6346531642071608
42,0.9871244635193133,0.963005778799597,0.9762186817797868,0.9800856926221594,0.6801923654944394,0.4173293363166253,0.42649393046269335,0.6301758994451824
43,0.984549356223176,0.9579882493749422,0.9734719146239512,0.9754849957421011,0.6801923654944394,0.4188257705819507,0.4278018960429229,0.630672465870686
44,0.9836909871244636,0.9544909062313908,0.9716364306809688,0.9746669072485844,0.6880072137060415,0.4276016859591077,0.43718689265096267,0.6394867321880962
45,0.9802575107296138,0.950220979958842,0.9649239526372887,0.969408669234579,0.6762849413886384,0.41258430818532005,0.4188688753566981,0.629019604564002
46,0.9828326180257511,0.9520710507030711,0.9678286646370656,0.9740514724589137,0.6795912233243162,0.4135934975801862,0.4246692252288368,0.6308080238434408
47,0.9858369098712446,0.9594133553223133,0.9754068480354047,0.9774666298251714,0.6819957920048091,0.4163661051363059,0.4296902336146106,0.6313065226640792
48,0.9828326180257511,0.9530776008610541,0.9691376773836117,0.9734535440024182,0.6825969341749324,0.4180783585126665,0.42895708118924003,0.6336496818548287
49,0.9892703862660944,0.9692357670179399,0.9801158974810537,0.9832326473899506,0.6810940787496242,0.41517296759023936,0.4246390881605393,0.6318511354396973
50,0.984549356223176,0.9582684252028386,0.9745916473089657,0.9751604244715203,0.682897505259994,0.419465110533231,0.43111792920508757,0.6325403855246763
51,0.9841201716738197,0.9551062045027969,0.9722378569974207,0.9752409839210041,0.6786895100691314,0.41717740568246775,0.42283019931662585,0.6296357177954379
52,0.9888412017167382,0.9684228651106717,0.9807398151967749,0.981889210647435,0.6807935076645627,0.4165721809508218,0.42593655125370405,0.6312763000208566
53,0.9836909871244636,0.9554383739362208,0.9717440832656163,0.9743800874149269,0.6871055004508566,0.4272456227518597,0.4365600366053419,0.6389760193617168
54,0.9828326180257511,0.9526989035527164,0.9684059743691812,0.9739779601864695,0.6831980763450556,0.4204891372007907,0.4290882034497146,0.6344302070964288
55,0.9832618025751073,0.9545458565141254,0.9707317615457762,0.9740283842412688,0.6813946498346859,0.42084064254746667,0.42852348858450273,0.6322580280059465
56,0.9858369098712446,0.9605995296631024,0.9745755783859211,0.9774444143673305,0.6847009317703637,0.4256357841528061,0.43449289448365314,0.6320438487995045
57,0.9836909871244636,0.9543848732469972,0.9711094403716277,0.974608788566295,0.682897505259994,0.4208161657138454,0.43060875857920683,0.6337484544988444
58,0.9854077253218884,0.9587429204552064,0.9752414116072847,0.9765615409080007,0.6856026450255486,0.423642551686226,0.4343447286621791,0.635222005571456
59,0.9854077253218884,0.9598127134076487,0.9753616633099758,0.9763832028890018,0.6807935076645627,0.41573259801787343,0.42700422013979683,0.6317198230756763
60,0.9875536480686695,0.9624393083171358,0.977749546809626,0.9804106507163661,0.6895100691313496,0.43368743421684297,0.4395502401490612,0.6393994965679949
61,0.9815450643776824,0.9489035893447803,0.9664898882097803,0.9719252436384153,0.680492936579501,0.41959482090860656,0.42562281285797415,0.6321582867513557
62,0.9849785407725322,0.9584925289143243,0.9732983139176486,0.976478570235095,0.6810940787496242,0.4188404138755401,0.42544116840093166,0.6329270127265775
63,0.9892703862660944,0.9684155481477813,0.9814554145436774,0.9826671365071448,0.6862037871956718,0.4247496323492831,0.4344228547510211,0.6348437548879324
64,0.9879828326180258,0.9662254375069137,0.9798997786375038,0.9803837690836352,0.6847009317703637,0.42315397627446244,0.43351533516242763,0.6334526647059663
65,0.9879828326180258,0.9658612513772413,0.9788837159531106,0.9807391249043916,0.6792906522392546,0.41758870449214514,0.4255114545004282,0.6277682302996009
66,0.9828326180257511,0.9526888388596838,0.9703911487403576,0.9730375591430039,0.6837992185151789,0.4258304490138905,0.4313249713305514,0.6361310806796907
67,0.9832618025751073,0.9537073712939564,0.9705891891003793,0.9741311440546969,0.6792906522392546,0.4144381071973532,0.425232039461201,0.6305166996526221
