epoch,train_acc,train_nmi,train_ari,train_f1,test_acc,test_nmi,test_ari,test_f1
0,0.3387096774193548,0.1099541272471424,0.08776669638346846,0.3176102632395778,0.2378138847858198,0.05610457283205361,0.02740230775403826,0.22180162435312717
1,0.7213261648745519,0.4976652484207912,0.4711812770511498,0.6565139096051812,0.4364844903988183,0.1984459344269076,0.1254001754951587,0.39062690141939094
2,0.8664874551971327,0.7502510346241861,0.7519616708024857,0.7869614577018906,0.5258493353028065,0.3019207030719083,0.21224906773080082,0.46685903246056865
3,0.9139784946236559,0.8553384641166956,0.8615496816598144,0.8386119244724826,0.5827178729689808,0.36242266351633823,0.29284016255394,0.5114085600538124
4,0.9336917562724014,0.898854676595642,0.8966830654890546,0.8795560313498668,0.6155834564254062,0.3875459816055701,0.3545345319460015,0.5409871325436464
5,0.946236559139785,0.9148612791455927,0.9158494726063451,0.908515247938819,0.6425406203840472,0.4190302075566148,0.40520797175882245,0.5662164029099107
6,0.9605734767025089,0.9337218169280541,0.9350081804193104,0.9388389550492817,0.6558345642540621,0.4529666886247973,0.4339258170107173,0.6151490436596319
7,0.9713261648745519,0.9441018525363604,0.9480506728460404,0.9597587980969333,0.6654357459379616,0.45719479823504294,0.44865425384814744,0.6246036589747944
8,0.9668458781362007,0.9261804781269268,0.9381079058091905,0.9565767324944582,0.662850812407681,0.4442769533416126,0.4366606191526662,0.6280309071848398
9,0.9802867383512545,0.9505251437040033,0.9610367764166249,0.97536464097071,0.672821270310192,0.46401863054427805,0.4546457951749821,0.6396527505763911
10,0.9775985663082437,0.9454040629912482,0.9588241567554187,0.9703888306629482,0.672821270310192,0.4453330074279214,0.43957110761233426,0.6442691416105417
11,0.9722222222222222,0.9318778369505386,0.9483331339801973,0.9648074856997314,0.6772525849335302,0.4553573215738885,0.4354779593312309,0.6556866730765768
12,0.978494623655914,0.9468540521320556,0.9589080532206736,0.9730379871381976,0.6909158050221565,0.47330321387622076,0.45301464486608073,0.6696184228949361
13,0.9838709677419355,0.9603551262950989,0.9706010248620595,0.9786305497430712,0.6875923190546529,0.4739514104521869,0.4526332644303572,0.6662687699716153
14,0.9793906810035843,0.9495611896078954,0.9611126997441984,0.9733796189119247,0.6894387001477105,0.47415981169205773,0.45194071149589476,0.6679208231979948
15,0.985663082437276,0.9624072057398796,0.9738386970913278,0.9812985799823482,0.6864844903988183,0.4763341633430481,0.4518925374237038,0.6641214850965959
16,0.985663082437276,0.9601073063172845,0.9708866965127846,0.9827446517727284,0.6820531757754801,0.46775600113611704,0.4456836524843781,0.6611134918259499
17,0.9883512544802867,0.9689772815285509,0.9774802718647082,0.9850990093614419,0.6850073855243722,0.47781165634805917,0.4464727928261443,0.6637265290487165
18,0.9910394265232975,0.9744957193635015,0.9822662642538315,0.9888884509162902,0.6824224519940916,0.4820751187982005,0.44785225769665055,0.660826785573464
19,0.989247311827957,0.9704074232447766,0.9795029544087619,0.9862962547722359,0.6779911373707533,0.4701826947474203,0.44406850034361406,0.654212709857085
20,0.9847670250896058,0.9602922825434524,0.9713954210925783,0.9804656560817904,0.6731905465288035,0.4681370799320926,0.42915443799684727,0.6517911176590179
21,0.985663082437276,0.961331291262662,0.971259272919353,0.9824009120332095,0.6835302806499262,0.4821424986278548,0.4525021736024653,0.6614869159645974
22,0.9919354838709677,0.9764722126306087,0.9847170566818851,0.9895341107862754,0.6883308714918759,0.4872889544885757,0.4635841748406982,0.6635193764533991
23,0.9910394265232975,0.9773047037945285,0.9836359281777902,0.9879906902002071,0.6842688330871491,0.47730356790230566,0.4550941653465586,0.6595302807782326
